JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
,DHI Telecom Group,"Houston, TX 77051 (Southeast area)",25 days ago,2021-08-31,"
A React Native Developer is responsible for translating code into user-friendly applications.
They collaborate with internal teams to develop functional mobile…
",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CE2RJh9TW9r3o2UWW0XVh6jMZnNA9U3jr3qRpaO1F4PASjVUbsVh99nA4m2uakV4T8joILvxzb1_LvS3Un7RIaS0OyMcxaeP9a1sPibglt04hsErQAiaZi9AMBAbkoI-m34ug51CXyC0pj0A65emD-IzEk78evKTVYoSG7Ndc-caynjH5iXXBNe6aDPTNYh4Qqttk2Ta1vbzt2fdthvhQMcn6vlK-CpFwKH6mM3AE0MhTeegnpV6pYM0hfnxDAX6Tc6RpcIP3hL77JJn6xnTPJY5BpG74rj0k8_Udx4j34dHn4H8fjiCc8GfPKJfM08exrNNDCo_X15_TqFvPCJN-sO2sYSqkjvsfgkeHnNXuj-Xup54pIuqGzQDcUuez71oyhkOrwP0fZFewavLzLC74fT0PxW0_Kd3tyMm8XjU-UR45ATDes2icOLFdSBjoh0L2yxad78ouotoN-aEJzbuV-OSc6Ie1vqN39BOC7bzv5fMXQdfj0YfWyU7-1WjYvR78R6apmdqoivXapYuN3qVH0PIS3JTyk-lXRaVPj5qbTTfmbXcU5FFnERGO-1D7xpOL_QtIUDbjqGsVtrShlIb-7544chUhAUfVJeJ_wAAm1xd9ySFE3UymjvLMluu4k-Zw-xtx6jEDLTimqYmJkCMxnM5yABkYFsGsmNRZW2TOBnTK4CJedyWldJa4KS83s2-he7uwKbsRwR0bK75nOOVmOZP1h1pLkUN7mQUbVE_XHd4hbEBwLnzSZ&p=0&fvj=0&vjs=3
,"Advanced Robotics Group, LLC","Houston, TX 77054 (South Main area)",Active 1 day ago,2021-08-31,"
Strong experience with React, Redux and TypeScript..
Experience with CSS frameworks like Bulma, Bootstrap, etc.
Familiarity with CI/CD pipelines.
",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AxPI-30zV7sX94h_TP3Y1N9TaSXkgqlcIgXHI9KCIgbYCkzfn2BvS4H1QuRvxTdJ_YMhL8FKNXWrHcI26cGG7KgnFUkOOdwAcb2QS_y4vMrZwq4lBC1DXfkJBjCeSGVYNf95oqiRMr3a5kknl4xjocki0EGQSv40EmomVr7Dmd7EUisiBVVTOdARK3FCh5PTdN6811bb2E1wglJP5OOKTZHzCcteIxZEyCy3bsaktIuHn3m7h0beIGIWRAInXAjRhs4RwmoCBMOMl6krwdu8ePGlPZ7FE0iE49PKl2WNNRV0vnrn1ux2vlavE1Z2CtD1stAUdIN621znhcU0L5bAFEGxmPhmhuTKoJpCQ7ZgeOaLBTRgMiGlXj4lqUabq_tLW5IM5WuTMmpZ1zW5ct-ybMMc28iNEeTHA_4kM8bhnaFNq_rqMTJKfAErj3EXp_eCmmsw4cgl-pgPDyNwHDi3lkR1O_OvfZ434R7MKmYj5pgSxP7AOhsjZrSQ8fitGaTbo=&p=1&fvj=1&vjs=3
,PetroSkills,"Katy, TX 77494•Remote",Just posted,2021-08-31,"
Proven work experience in software quality assurance is a plus.
Pro-actively work with the software development team in problem analysis, reproduction, and…
",,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dq9hd8I8tkspBEamWlM5Ujlz9F_NU-cWvzGetRPlE28-4CCJIwHFnxrTHGFr1A8SBPzqOkBzcx-J6SIEBtjjqTc7Hsc1Ye30Qmbdz9bTEoH7oMjQ2Mi-3w9v6C23MQxroq0SQFn3Uuk831EanzNTFvB9mK6bLsGV_0tednflk1hzEhZPXl-QQ0ZrXEeSoLocNCjljGHPpBdb1eJOnUBOkKZAgCT96cEuMRpV_uAEqrJnsn3YFAIFP3cdCC9nx0JevOo6sPWrImBt_ZDCeUiLkVDo4rhfWEm-_6x4bZYRR03CaDe194mfiEARzo0ARgKXxDWmZa27Jb3TwFrWbeHHADqOLRsRGBkk-OCJBeB9Ji7JODM2ejpW6Gr2T4Kf9qmXrEaUDDiEVAO8EURvAFvBi_lcjG-Hrl-StvOo9CnT_kTFhu3vGzQ2M6arBGCiqVibSF-a6KfwaJvWHlCU0TISqwzq-rR5L6OfRto1g0CrlebIxK0mdxPlmyw4ko1lZIYh8=&p=2&fvj=1&vjs=3
,YantraTek LLC,"Houston, TX 77002 (Downtown area)•Temporarily Remote",Today,2021-08-31,"
Hiring Senior UI Developer who can write compelling code in JavaScript, Strong project experience in either Angular 2+ versions or React.
",$60 - $70 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhmcYVoE6Vq_8-8GKKNWzzt8BQ-vsjSJ2oUIKMAFoNMu789QXaC_yG-NPJwzqouNQ8OOtnqJXfqTjFZHAflOLDj3k2SGut5XXDMCYGmlwm2dtx-ZKnhYuRmmQjQL2L4lNDk6f9uXyxCnLlazXiPvB72G9_PAt3tmgo_QAqKN07wULOsyZHo-X-0om03kSTzPY2kErxkSqcPbDJqqDyfZXtuRd2wjmHxyuQRJPqP41JGWMEFm_dtmOv-G82-nGKn2dDCjvk-ZPBUolApx7kxw7DqzZ5ws2AEsgjhMlxxx-NvfQAS7rB1Hhd3DZH5LxOwM7rrnA0OTT7Cp30sPuU_9RphuPEcdtigGYs-BBIj49WCPFEQqDg7_4GJyqYUtY1rK-eFG_c_hu179vhXjGoqOz3CGu-T6sL9x3JrZ7N8TC9ZZYTFoKUlUsG8Zipq5MPHD23JyXEgneclMxai11ktuXx9z9lloIj0GE09iAvwP0lqIKFnFYpH8iB&p=3&fvj=1&vjs=3
Software Developer,Confidential,"Houston, TX 77042 (Westchase area)",1 day ago,2021-08-31,"
Ability to work with software developers (in-house and third party), consultants and vendors on various development and implementation projects.
","$100,000 - $110,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B58ecKDTRkKISdV7-N55PcOyPVQcREk9SmWQiu5WpjY9HZtPKTK8JOw9-y7kQzGOEOVyW9Z5knOROgOBVmsxYa3gxytRUEZufghe2LcItjmKj0BfnxLZEfZIn9ijALdS0pJhjJ2FVYoMVA54IVd9tugmWPf-VzNI0oQzZ82p8e8MxF5bGYXzJ-CWURmcVbvlKbB3ql8bzm6SGG7tI1qmOgncmVVj0BwD3ZflpYAxSIT3ld1bF3bTnPEw9JJ4am-_AsiFyWVqJ-J--e0vmk-d635IG4ttgqSHPGWzhWrM-krtKjU7iXF_NyO8wfWslfY-ajRV6PU9-VXfgkyp-TNefMquKrUGHxnkIHhU-Dhhl2wdLEhmjpansdYENiBayT-EFrvONnhKE5P2fBVKUxoMGWYebQ8rDz75-VvaE34L85azcm3m0PImN17u0jzwxrkjrqMj6DMW4U4_7kDzE4V81U_wJZDAiJBgNAQZz3bIhMbVg9RPMtMkRknTmkAq45EYs=&p=4&fvj=1&vjs=3
Software Developer,MD Anderson Cancer Center,"Houston, TX 77030 (Medical Center Area area)",3 days ago,2021-08-31,"
Three years in software programming and analysis.
Full Stack Development Participate in all technical aspects of software development for clinical research…
",,https://www.indeed.com/rc/clk?jk=4b022b77193d09c9&fccid=ab68ed48b7ae3b5f&vjs=3
,Microsoft,"Houston, TX+1 location",25 days ago,2021-08-31,"
You will have opportunities to work on multiple layers of the technology stack, ranging from customer-focused user experience work, building scalable…
",,https://www.indeed.com/rc/clk?jk=74cf8a4429d3b34d&fccid=734cb5a01ee60f80&vjs=3
,Reynolds and Reynolds,"Houston, TX 77040 (Fairbanks - Northwest Crossing area)",Active 4 days ago,2021-08-31,"
Our developers are responsible for reviewing specifications, providing technical designs, and coding and testing their own projects.
",,https://www.indeed.com/company/Reynolds-and-Reynolds/jobs/Entry-Level-Software-Developer-ae824c2ec5277ce0?fccid=f28d659c13a0ec47&vjs=3
,ABS,"Houston, TX",Just posted,2021-08-31,"
3-5 years of strong technical experiance in software development.
Analyze, architect, design, and develop software products with proper code comments and…
",,https://www.indeed.com/rc/clk?jk=9b5da67ac3ee178c&fccid=93f480e9ca33a501&vjs=3
,Mphasis Limited,"Houston, TX•Temporarily Remote",Active 2 days ago,2021-08-31,"
Using software quality assurance tools and processes.
Design new or modify current computer software/firmware.
Understanding with FW/HW/software testing.
","$45,000 a year",https://www.indeed.com/company/Mphasis-Limited/jobs/Trainee-Software-Engineer-cf93b204671a9eef?fccid=7cbbd0c93fcb6c8e&vjs=3
Software Developer,sierra digital,"Houston, TX",30+ days ago,2021-08-31,"
Interpret design specifications for development while offering opinions for improvements.
Provide estimates and regular updates as requested.
",,https://www.indeed.com/rc/clk?jk=32db3de36dac73c3&fccid=c5f63b91aa14610e&vjs=3
,Emonics LLC,"Houston, TX",Active 4 days ago,2021-08-31,"
Follows company software development lifecycle to design, code, configure, test, debug, and document system and application programs.
",$30 - $60 an hour,https://www.indeed.com/company/Emonics-LLC/jobs/Entry-Level-Software-Developer-25615167ff753bc4?fccid=5275edd1f3f2b774&vjs=3
,DHL eCommerce,"Houston, TX•Temporarily Remote",13 days ago,2021-08-31,"
Provide technical subject matter expertise to software development teams responsible for systems designs.
Participate and lead agile software development while…
","Up to $130,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRKh2YbrJvU3cwyCnunlOggSbwWF3i2satu3Hp4rzdsUyAbW6GHKeaUiqwGawM8LnQhNb3qDwY_8VrN75FjE0oIh6bMfv4Lyq1mFciHvXkzByoVbz3eQBC9XLTF4-fmFf_jojm11kotmm33rIExKhBngECB6NFwxGJQLLUPBGmQskMSTG6t3D0ZASN2qz36KJTW0DqGRVPxrLuGiYLq8mNnKB29YoPb9W1J5nvDaVgP1txSlwTeq7ctVl599UEWZuEXCX8KOYP4fq_LjPztizmkIeW2aNr0vfBSEsxAsk3i_IIpuO9OCE8Uxffd7OQXIzJeEaeGWH-5jVfcNB81DR-KgKjk7w3Ez4SVK8CQ_udpH6LCcNuvM8uGD1wPkCH1Amw-4xPvjc0a9O1Ngo-5-MoFlZta6h6GpHIerl2Fk9oXQbjK-njDBtR3UehhuaqVVkCdRRl9aiGa2WQsHRPKvaDzeCtWRuZBvmO7Vy9HwRBXFawgO2i8yw6&p=12&fvj=1&vjs=3
,SPJ Solutions Inc,"Houston, TX•Remote",14 days ago,2021-08-31,"
Utilize modern JavaScript libraries, including React, Redux, Node, Express, and Postgres, to add additional features and functionality to the cITopus product.
","$55,000 - $80,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B77fWiAwbeXmwHCDmzcQBETblwk8zNYBnauxeCli2IYQC8M0xmqI1qAZR-OOXOx6g_gGazLqIvVnZTy3s23J9tPhS_pgd5soaJRHlf229iVwSEG_S9pcMvIAesTrkwL0mL3fvB7xX3CJr7Nkby4aMUSGtGCQMP6VGSFnBxfguHYgvSxvbcYi7eFHxeZ1z-56TzHnydVoZtjBoYqzoFJ3ZIMLZGQE1hkO39s5VzRsv7-IVM8QR9aC6tAJyLBm9YCKcC6wMzAd_25jHGUbYAGqmuTxRKwYzvgId9Gkw9BEwBWRQFy0AngPc56LLkRmYNhSBRpgKt_DgKi8ygljbTog3zyDcULeopQk4YPWV3fJCJg6_enyuD0uVPXnuHNs1bzStO3c1psSERGyxetOsF6Lx1AaPcXvCjGv5KIuwMW9HasNcxQEaFUmqvhzLT9Y9eopt_Aqz1ArAeeP7AWf7EmHdNrYXjvQCM6S6eM2WDVM579Qtt3TcHlqQc_ZnCSaggV10=&p=13&fvj=1&vjs=3
,Allscripts,"Houston, TX+2 locations•Remote",30+ days ago,2021-08-31,"
Ownership of assigned software and non-software deliverables.
Completion of all necessary software and non-software components in the timescales as defined by…
",,https://www.indeed.com/rc/clk?jk=19450b07c7060896&fccid=f5b1aded7e2e3757&vjs=3
,"JPMorgan Chase Bank, N.A.","Houston, TX",2 days ago,2021-08-31,"
Understanding of software skills such as business analysis, development, maintenance, and software improvement.
BS/BA degree or equivalent experience.
",,https://www.indeed.com/rc/clk?jk=5bd396d4d0522c3f&fccid=aaf3b433897ea465&vjs=3
,DHL eCommerce,"Houston, TX•Temporarily Remote",13 days ago,2021-08-31,"
Provide technical subject matter expertise to software development teams responsible for systems designs.
Participate and lead agile software development while…
","Up to $130,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRKh2YbrJvU3cwyCnunlOggSbwWF3i2satu3Hp4rzdsUyAbW6GHKeaUiqwGawM8LnQhNb3qDwY_8VrN75FjE0oIh6bMfv4Lyq1mFciHvXkzByoVbz3eQBC9XLTF4-fmFf_jojm11kotmm33rIExKhBngECB6NFwxGJQLLUPBGmQskMSTG6t3D0yPZ7C-kBISwCes0Abe6-W1kkcpuv9HdnkquaBi1x066yZnSs4v2njy9d-HgQ4lD7mvpdS9eEQeCLRlvy756ptGPgZ1kSbh4P2mZNgY0i-cyMUHzqaccvHkugHoG7tt3PMMqVeyeFd1mU1WUXO_c3H7gyGsjX8Wu3S2HZ4L90VX2wTZdy79qecOemSdPO3EKlbtyDvz5_9jkZLIYwi-DTRx7azQqKwZHqIJYqsSmi5goCAjRlz8I6bRfRv8OIU0YXRXbAi7httRAU7IQiBAL4LVW-IeP5D9hzdEmE4w3mTsSp4GFKufsoTxR3gL6zomOP&p=1&fvj=1&vjs=3
